2048	3	0   0
1246	169	936	937
1247	936	937	938
1248	17	467	469
1249	171	939	469
1250	170	939	467
1251	939	467	469
1252	69	468	631
1253	252	940	631
1254	170	940	468
1255	940	468	631
1256	70	470	632
1257	252	941	632
1258	171	941	470
1259	941	470	632
1260	252	940	941
1261	171	939	941
1262	170	939	940
1263	939	940	941
1264	69	631	629
1265	251	942	629
1266	252	942	631
1267	942	631	629
1268	70	632	627
1269	250	943	627
1270	252	943	632
1271	943	632	627
1272	71	630	628
1273	250	944	628
1274	251	944	630
1275	944	630	628
1276	250	943	944
1277	251	942	944
1278	252	942	943
1279	942	943	944
1280	2	337	329
1281	101	945	329
1282	105	945	337
1283	945	337	329
1284	37	338	634
1285	253	946	634
1286	105	946	338
1287	946	338	634
1288	35	330	633
1289	253	947	633
1290	101	947	330
1291	947	330	633
1292	253	946	947
1293	101	945	947
1294	105	945	946
1295	945	946	947
1296	14	477	331
1297	102	948	331
1298	175	948	477
1299	948	477	331
1300	72	478	636
1301	254	949	636
1302	175	949	478
1303	949	478	636
1304	35	332	635
1305	254	950	635
1306	102	950	332
1307	950	332	635
1308	254	949	950
1309	102	948	950
1310	175	948	949
1311	948	949	950
1312	15	479	339
1313	106	951	339
1314	176	951	479
1315	951	479	339
1316	72	480	638
1317	255	952	638
1318	176	952	480
1319	952	480	638
1320	37	340	637
1321	255	953	637
1322	106	953	340
1323	953	340	637
1324	255	952	953
1325	106	951	953
1326	176	951	952
1327	951	952	953
1328	72	638	636
1329	254	954	636
1330	255	954	638
1331	954	638	636
1332	37	637	634
1333	253	955	634
1334	255	955	637
1335	955	637	634
1336	35	635	633
1337	253	956	633
1338	254	956	635
1339	956	635	633
1340	253	955	956
1341	254	954	956
1342	255	954	955
1343	954	955	956
1344	7	341	405
1345	139	957	405
1346	107	957	341
1347	957	341	405
1348	38	342	639
1349	256	958	639
1350	107	958	342
1351	958	342	639
1352	54	406	640
1353	256	959	640
1354	139	959	406
1355	959	406	640
1356	256	958	959
1357	139	957	959
1358	107	957	958
1359	957	958	959
1360	23	483	407
1361	140	960	407
1362	178	960	483
1363	960	483	407
1364	73	484	642
1365	257	961	642
1366	178	961	484
1367	961	484	642
1368	54	408	641
1369	257	962	641
1370	140	962	408
1371	962	408	641
1372	257	961	962
1373	140	960	962
1374	178	960	961
1375	960	961	962
1376	15	481	343
1377	108	963	343
1378	177	963	481
1379	963	481	343
1380	73	482	644
1381	258	964	644
1382	177	964	482
1383	964	482	644
1384	38	344	643
1385	258	965	643
1386	108	965	344
1387	965	344	643
1388	258	964	965
1389	108	963	965
1390	177	963	964
1391	963	964	965
1392	73	644	642
1393	257	966	642
1394	258	966	644
1395	966	644	642
1396	38	643	639
1397	256	967	639
1398	258	967	643
1399	967	643	639
1400	54	641	640
1401	256	968	640
1402	257	968	641
1403	968	641	640
1404	256	967	968
1405	257	966	968
1406	258	966	967
1407	966	967	968
1408	6	333	401
1409	137	969	401
1410	103	969	333
1411	969	333	401
1412	36	334	645
1413	259	970	645
1414	103	970	334
1415	970	334	645
1416	53	402	646
1417	259	971	646
1418	137	971	402
1419	971	402	646
1420	259	970	971
1421	137	969	971
1422	103	969	970
1423	969	970	971
1424	23	487	403
1425	138	972	403
1426	180	972	487
1427	972	487	403
1428	74	488	648
1429	260	973	648
1430	180	973	488
1431	973	488	648
1432	53	404	647
1433	260	974	647
1434	138	974	404
1435	974	404	647
1436	260	973	974
1437	138	972	974
1438	180	972	973
1439	972	973	974
1440	14	485	335
1441	104	975	335
1442	179	975	485
1443	975	485	335
1444	74	486	650
1445	261	976	650
1446	179	976	486
1447	976	486	650
1448	36	336	649
1449	261	977	649
1450	104	977	336
1451	977	336	649
1452	261	976	977
1453	104	975	977
1454	179	975	976
1455	975	976	977
1456	74	650	648
1457	260	978	648
1458	261	978	650
1459	978	650	648
1460	36	649	645
1461	259	979	645
1462	261	979	649
1463	979	649	645
1464	53	647	646
1465	259	980	646
1466	260	980	647
1467	980	647	646
1468	259	979	980
1469	260	978	980
1470	261	978	979
1471	978	979	980
1472	23	483	487
1473	180	981	487
1474	178	981	483
1475	981	483	487
1476	73	484	651
1477	262	982	651
1478	178	982	484
1479	982	484	651
1480	74	488	652
1481	262	983	652
1482	180	983	488
1483	983	488	652
1484	262	982	983
1485	180	981	983
1486	178	981	982
1487	981	982	983
1488	14	477	485
1489	179	984	485
1490	175	984	477
1491	984	477	485
1492	72	478	653
1493	263	985	653
1494	175	985	478
1495	985	478	653
1496	74	486	654
1497	263	986	654
1498	179	986	486
1499	986	486	654
1500	263	985	986
1501	179	984	986
1502	175	984	985
1503	984	985	986
1504	15	479	481
1505	177	987	481
1506	176	987	479
1507	987	479	481
1508	72	480	655
1509	264	988	655
1510	176	988	480
1511	988	480	655
1512	73	482	656
1513	264	989	656
1514	177	989	482
1515	989	482	656
1516	264	988	989
1517	177	987	989
1518	176	987	988
1519	987	988	989
1520	72	655	653
1521	263	990	653
1522	264	990	655
1523	990	655	653
1524	73	656	651
1525	262	991	651
1526	264	991	656
1527	991	656	651
1528	74	654	652
1529	262	992	652
1530	263	992	654
1531	992	654	652
1532	262	991	992
1533	263	990	992
1534	264	990	991
1535	990	991	992
1536	3	345	361
1537	117	993	361
1538	109	993	345
1539	993	345	361
1540	39	346	657
1541	265	994	657
1542	109	994	346
1543	994	346	657
1544	43	362	658
1545	265	995	658
1546	117	995	362
1547	995	362	658
1548	265	994	995
1549	117	993	995
1550	109	993	994
1551	993	994	995
1552	18	491	363
1553	118	996	363
1554	182	996	491
1555	996	491	363
1556	75	492	660
1557	266	997	660
1558	182	997	492
1559	997	492	660
1560	43	364	659
1561	266	998	659
